Date,Price Change
5/7/2015,-0.025
5/8/2015,-0.0155678
5/11/2015,0.0576744
5/12/2015,-0.0061566
5/13/2015,0.0097345
5/14/2015,-0.0188431
5/15/2015,-0.0437695
5/18/2015,0.0406352
5/19/2015,0.0152603
5/20/2015,-0.004863
5/21/2015,-0.0293203
5/22/2015,0.01373
5/26/2015,-0.0352144
5/27/2015,-0.0009359
5/28/2015,-0.0023419
5/29/2015,-0.0164319
6/1/2015,0.0463007
6/2/2015,0.0337591
6/3/2015,0.0441306
6/4/2015,-0.0249366
6/5/2015,0.041179
6/8/2015,-0.0087427
6/9/2015,0.0151197
6/10/2015,0.0252379
6/11/2015,-0.0383374
6/12/2015,0.0008393
6/15/2015,-0.0113208
6/16/2015,-0.0169635
6/17/2015,-0.0051769
6/18/2015,0.0195143
6/19/2015,-0.0357295
6/22/2015,0.0410234
6/23/2015,0.0207627
6/24/2015,-0.0157742
6/25/2015,0.0092788
6/26/2015,0.0346845
6/29/2015,-0.0585622
6/30/2015,0.001716
7/1/2015,0.035546
7/2/2015,-0.0103391
7/6/2015,-0.0480568
7/7/2015,-0.0206321
7/8/2015,-0.0112057
7/9/2015,0.0430644
7/10/2015,0.0504129
7/13/2015,0.0053786
7/14/2015,-0.0127572
7/15/2015,-0.0204252
7/16/2015,0.0008511
7/17/2015,-0.0012755
7/20/2015,0.0097914
7/21/2015,-0.0134907
7/22/2015,-0.0076923
7/23/2015,-0.0193798
7/24/2015,-0.002635
7/27/2015,-0.0189344
7/28/2015,0.0098743
7/29/2015,0.0128889
7/30/2015,-0.0048267
7/31/2015,-0.0277778
8/3/2015,-0.0249433
8/4/2015,0.0283721
8/5/2015,0.0257802
8/6/2015,-0.0149912
8/7/2015,-0.02641
8/10/2015,0.0289655
8/11/2015,-0.0451296
8/12/2015,-0.0032756
8/13/2015,0.0276995
8/14/2015,0.0031978
8/17/2015,-0.0209472
8/18/2015,0.0213953
8/19/2015,-0.03051
8/20/2015,-0.0211367
8/21/2015,-0.0143954
8/24/2015,-0.0277507
8/25/2015,0.0681022
8/26/2015,0.0182841
8/27/2015,-0.0018416
8/28/2015,0.0083026
8/31/2015,0.0064044
9/1/2015,-0.0127273
9/2/2015,0.0096685
9/3/2015,-0.0113999
9/4/2015,-0.0184502
9/8/2015,0.031015
9/9/2015,-0.0059253
9/10/2015,0.0187987
